,N,iters
0,4,0
1,4,0
2,4,17
3,4,21
4,4,0
5,4,51
6,4,8
7,4,0
8,4,3
9,4,5
10,8,1191
11,8,123
12,8,282
13,8,684
14,8,334
15,8,140
16,8,140
17,8,42
18,8,471
19,8,484
20,16,8658
21,16,6057
22,16,7362
23,16,7101
24,16,7577
25,16,7756
26,16,8327
27,16,7694
28,16,8178
29,16,7046
30,32,9158
31,32,8551
32,32,8958
33,32,8806
34,32,8132
35,32,8387
36,32,9079
37,32,7856
38,32,8271
39,32,9338
40,64,14763
41,64,12190
42,64,9455
43,64,9443
44,64,10837
45,64,11338
46,64,9383
47,64,13975
48,64,9518
49,64,11842
50,128,15513
51,128,22291
52,128,16378
53,128,15790
54,128,14072
55,128,13905
56,128,16286
57,128,17755
58,128,15169
59,128,10999
60,256,17038
61,256,27129
62,256,24254
63,256,27438
64,256,24309
65,256,23657
66,256,21866
67,256,34895
68,256,39086
69,256,43390
70,512,63124
71,512,48691
72,512,61688
73,512,72797
74,512,58985
75,512,62223
76,512,48918
77,512,137734
78,512,48084
79,512,64768
80,1024,139930
81,1024,107337
82,1024,137098
83,1024,129815
84,1024,140039
85,1024,106643
86,1024,200217
87,1024,128767
88,1024,165920
89,1024,104839
